"stock_name","isin","industry","quantity","market_value_in_lacs","scheme_code","scheme_name"
"Manorama Industries Ltd.","INE00VM01036","Food Products",42839.0,625.71,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Prestige Estates Projects Ltd.","INE811K01011","Realty",37678.0,624.48,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Tata Communications Ltd.","INE151A01013","Telecom - Services",35017.0,592.0,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Page Industries Ltd.","INE761H01022","Textiles & Apparels",1185.0,585.51,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Bharat Forge Ltd.","INE465A01025","Auto Components",44175.0,577.85,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Nippon Life India Asset Management Ltd.","INE298J01013","Capital Markets",70475.0,563.84,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"APL Apollo Tubes Ltd.","INE702C01027","Industrial Products",32409.0,563.62,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Hitachi Energy India Ltd.","INE07Y701011","Electrical Equipment",2767.0,553.59,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"P I INDUSTRIES LIMITED","INE603J01030","Fertilizers & Agrochemicals",13380.0,549.21,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Cholamandalam Investment & Fin Co Ltd.","INE121A01024","Finance",33501.0,545.4,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Arvind Fashions Ltd.","INE955V01021","Retailing",111562.0,541.47,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Torrent Power Ltd.","INE813H01021","Power",36806.0,540.16,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Metro Brands Ltd.","INE317I01021","Consumer Durables",46892.0,539.35,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Fortis Healthcare Ltd.","INE061F01013","Healthcare Services",67372.0,535.27,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Voltas Ltd.","INE226A01021","Consumer Durables",39624.0,520.7,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Aurobindo Pharma Ltd.","INE406A01037","Pharmaceuticals & Biotechnology",44963.0,510.24,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"HDB Financial Services Ltd. #","INE756I01012","Finance",67560.0,499.94,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Allied Blenders And Distillers Ltd.","INE552Z01027","Beverages",114863.0,495.0,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Dee Development Engineers Ltd.","INE841L01016","Industrial Manufacturing",151180.0,484.53,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Balkrishna Industries Ltd.","INE787D01026","Auto Components",19673.0,481.06,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Power Finance Corporation Ltd.","INE134E01011","Finance",111582.0,476.9,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Godfrey Phillips India Ltd.","INE260B01028","Cigarettes & Tobacco Products",5257.0,471.89,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Axis Bank Ltd.","INE238A01034","Banks",39158.0,469.58,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Oil India Ltd.","INE274J01014","Oil",105026.0,456.08,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"KEI Industries Ltd.","INE878B01027","Industrial Products",11650.0,441.84,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Surya Roshni Ltd.","INE335A01020","Industrial Products",125459.0,435.59,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"SBI Cards & Payment Services Ltd.","INE018E01016","Finance",44586.0,424.95,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Tata Elxsi Ltd.","INE670A01012","IT - Software",6633.0,418.54,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"KPIT Technologies Ltd.","INE04I401011","IT - Software",33158.0,417.36,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"3M India Ltd.","INE470A01017","Diversified",1437.0,409.55,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Mphasis Ltd.","INE356A01018","IT - Software",14259.0,405.73,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Endurance Technologies Ltd.","INE913H01037","Auto Components",14184.0,392.91,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Jubilant Foodworks Ltd.","INE797F01020","Leisure Services",52041.0,365.22,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Suzlon Energy Ltd.","INE040H01021","Electrical Equipment",518710.0,351.27,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Info Edge (India) Ltd.","INE663F01032","Retailing",23091.0,343.66,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"K.P.R. Mill Ltd.","INE930H01031","Textiles & Apparels",30017.0,342.49,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Astral Ltd.","INE006I01046","Industrial Products",22151.0,333.77,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Deepak Nitrite Ltd.","INE288B01029","Chemicals & Petrochemicals",16669.0,331.23,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Tata Technologies Ltd.","INE142M01025","IT - Services",46218.0,328.61,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Bajaj Auto Ltd.","INE917I01010","Automobiles",3821.0,320.05,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Escorts Kubota Ltd.","INE042A01014","Agricultural, Commercial & Construction Vehicles",9575.0,319.29,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Saregama India Ltd.","INE979A01025","Entertainment",61238.0,305.24,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Oberoi Realty Ltd.","INE093I01010","Realty",15795.0,300.99,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"L&T Technology Services Ltd.","INE010V01017","IT - Services",6685.0,294.28,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Honeywell Automation India Ltd.","INE671A01010","Industrial Manufacturing",737.0,290.05,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Dr Agarwal's Health Care Ltd.","INE943P01029","Healthcare Services",70125.0,283.87,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Multi Commodity Exchange Of India Ltd.","INE745G01035","Capital Markets",2927.0,261.79,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Global Health Ltd.","INE474Q01031","Healthcare Services",22720.0,258.28,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"BSE Ltd.","INE118H01025","Capital Markets",9184.0,254.41,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Dixon Technologies (India) Ltd.","INE935N01020","Consumer Durables",1430.0,214.26,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"JTL Industries Ltd.","INE391J01032","Industrial Products",2506932.0,2025.1,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Sanathan Textiles Ltd.","INE0JPD01013","Textiles & Apparels",390711.0,1876.19,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Manorama Industries Ltd.","INE00VM01036","Food Products",109106.0,1593.6,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Housing & Urban Development Corp Ltd.","INE031A01017","Finance",668754.0,1588.69,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Concord Enviro Systems Ltd.","INE037Z01029","Other Utilities",270441.0,1554.9,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Apollo Micro Systems Ltd.","INE713T01028","Aerospace & Defense",877192.0,1518.63,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Allied Blenders And Distillers Ltd.","INE552Z01027","Beverages",326140.0,1405.5,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Enviro Infra Engineers Ltd","INE0LLY01014","Other Utilities",553566.0,1309.9,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"International Gemmological Inst Ind Ltd.","INE0Q9301021","Commercial Services & Supplies",337832.0,1277.51,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Exide Industries Ltd.","INE302A01020","Auto Components",321398.0,1246.22,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Navkar Corporation Ltd.","INE278M01019","Transport Services",1130075.0,1242.63,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Hindustan Foods Ltd.","INE254N01026","Diversified FMCG",228376.0,1225.92,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Kross Ltd.","INE0O6601022","Auto Components",587966.0,1155.41,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Arvind Fashions Ltd.","INE955V01021","Retailing",231060.0,1121.45,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Shakti Pumps (India) Ltd.","INE908D01010","Industrial Products",118679.0,1121.1,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Navin Fluorine International Ltd.","INE048G01026","Chemicals & Petrochemicals",22671.0,1092.76,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"KSB Ltd.","INE999A01023","Industrial Products",132471.0,1083.68,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Praveg Ltd.","INE722B01019","Leisure Services",212056.0,1065.37,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Aeroflex Industries Ltd.","INE024001021","Industrial Products",474380.0,1009.29,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Kilburn Engineering Ltd.","INE338F01015","Industrial Manufacturing",226810.0,1003.97,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Tata Power Company Ltd.","INE245A01021","Power",246957.0,1001.29,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Johnson Controls-Hitachi AC India Ltd.","INE782A01015","Consumer Durables",56768.0,993.33,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Syrma Sgs Technology Ltd.","INE0DYJ01015","Industrial Manufacturing",171749.0,974.16,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Ramkrishna Forgings Ltd.","INE399G01023","Auto Components",139380.0,939.98,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Equitas Small Finance Bank Ltd.","INE063P01018","Banks",1395528.0,936.54,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Vinati Organics Ltd.","INE410B01037","Chemicals & Petrochemicals",46886.0,926.51,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Aditya Birla Sun Life AMC Ltd.","INE404A01024","Capital Markets",114793.0,918.17,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Bharat Bijlee Ltd.","INE464A01036","Electrical Equipment",29145.0,904.57,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"CESC Ltd.","INE486A01021","Power",516947.0,887.86,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Texmaco Rail & Engineering Ltd.","INE621L01012","Industrial Manufacturing",496729.0,874.44,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"BEML Ltd.","INE258A01016","Agricultural, Commercial & Construction Vehicles",19379.0,863.8,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Himatsingka Seide Ltd.","INE049A01027","Textiles & Apparels",546675.0,845.05,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Afcons Infrastructure Ltd.","INE101I01011","Construction",191057.0,835.78,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Artemis Medicare Services Ltd.","INE025R01021","Healthcare Services",324784.0,826.58,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Infosys Ltd.","INE009A01021","IT - Software",51188.0,819.93,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Avalon Technologies Ltd.","INE0LCL01028","Electrical Equipment",95181.0,802.76,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Neuland Laboratories Ltd.","INE794A01010","Pharmaceuticals & Biotechnology",6653.0,798.36,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Ingersoll Rand (India) Ltd.","INE177A01018","Industrial Products",20590.0,797.86,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Kirloskar Oil Engines Ltd.","INE146L01010","Industrial Products",92220.0,784.84,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Praj Industries Ltd.","INE074A01025","Industrial Manufacturing",153797.0,782.6,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"VA Tech Wabag Ltd.","INE956G01038","Other Utilities",52560.0,778.62,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Seamec Ltd.","INE497B01018","Transport Services",88423.0,761.41,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Bharat Heavy Electricals Ltd.","INE257A01026","Electrical Equipment",270069.0,719.19,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"ION Exchange India Ltd.","INE570A01022","Other Utilities",127085.0,690.33,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"EID Parry India Ltd.","INE126A01031","Food Products",61568.0,683.4,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"JSW Infrastructure Ltd.","INE880J01026","Transport Infrastructure",209236.0,655.12,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"JK Tyre & Industries Ltd.","INE573A01042","Auto Components",178923.0,637.86,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Linde India Ltd.","INE473A01011","Chemicals & Petrochemicals",9412.0,626.42,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Kennametal India Ltd.","INE717A01029","Industrial Manufacturing",26305.0,615.51,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"K.P.R. Mill Ltd.","INE930H01031","Textiles & Apparels",53174.0,606.72,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Arvind Ltd.","INE034A01011","Textiles & Apparels",159963.0,564.35,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Bikaji Foods International Ltd.","INE00E101023","Food Products",74378.0,550.77,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Piramal Pharma Ltd.","INE0DK501011","Pharmaceuticals & Biotechnology",263179.0,535.25,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Triveni Engineering & Industries Ltd.","INE256C01024","Agricultural Food & other Products",138340.0,524.93,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"P I INDUSTRIES LIMITED","INE603J01030","Fertilizers & Agrochemicals",12705.0,521.5,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Aditya Birla Capital Ltd.","INE674K01013","Finance",187757.0,519.34,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"REC Ltd.","INE020B01018","Finance",115010.0,462.8,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"JK Lakshmi Cement Ltd.","INE786A01032","Cement & Cement Products",50591.0,455.04,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"MRS Bectors Food Specialities Ltd.","INE495P01012","Food Products",29158.0,398.47,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Gujarat State Petronet Ltd.","INE246F01010","Gas",120019.0,395.52,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"PNC Infratech Ltd.","INE195J01029","Construction",124830.0,385.23,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"SP Apparels Ltd.","INE212I01016","Textiles & Apparels",44603.0,383.56,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Tata Technologies Ltd.","INE142M01025","IT - Services",47080.0,334.74,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Vedant Fashions Ltd.","INE825V01034","Retailing",38071.0,308.85,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"VRL Logistics Ltd.","INE366I01010","Transport Services",49907.0,288.04,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Suraj Estate Developers Ltd.","INE843S01025","Realty",72936.0,269.46,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Ador Welding Ltd.","INE045A01017","Industrial Products",25646.0,261.7,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Tata Consultancy Services Ltd.","INE467B01029","IT - Software",4930.0,170.68,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"Saregama India Ltd.","INE979A01025","Entertainment",2405.0,11.99,152003,"LIC MF Small Cap Fund-Regular Plan-Growth"
"HDFC Bank Ltd.","INE040A01034","Banks",705983.0,14130.25,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"ICICI Bank Ltd.","INE090A01021","Banks",697847.0,10089.47,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Reliance Industries Ltd.","INE002A01018","Petroleum Products",657318.0,9863.71,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Infosys Ltd.","INE009A01021","IT - Software",403902.0,6469.7,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Larsen & Toubro Ltd.","INE018A01030","Construction",161037.0,5909.74,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Bharti Airtel Ltd.","INE397D01024","Telecom - Services",276685.0,5560.26,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"State Bank of India","INE062A01020","Banks",536748.0,4403.21,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Kotak Mahindra Bank Ltd.","INE237A01028","Banks",195934.0,4239.03,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"ITC Ltd.","INE154A01025","Diversified FMCG",924441.0,3849.83,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Tata Power Company Ltd.","INE245A01021","Power",902801.0,3660.41,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Tata Consultancy Services Ltd.","INE467B01029","IT - Software",100940.0,3494.54,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Axis Bank Ltd.","INE238A01034","Banks",286620.0,3437.15,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Hindustan Unilever Ltd.","INE030A01027","Diversified FMCG",147500.0,3384.54,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Bharat Electronics Ltd.","INE263A01024","Aerospace & Defense",770947.0,3249.54,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Mahindra & Mahindra Ltd.","INE101A01026","Automobiles",101950.0,3245.27,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Shakti Pumps (India) Ltd.","INE908D01010","Industrial Products",326108.0,3080.58,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Sun Pharmaceutical Industries Ltd.","INE044A01036","Pharmaceuticals & Biotechnology",170341.0,2854.4,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Cipla Ltd.","INE059A01026","Pharmaceuticals & Biotechnology",173967.0,2619.77,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"JTL Industries Ltd.","INE391J01032","Industrial Products",3216647.0,2598.41,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Power Finance Corporation Ltd.","INE134E01011","Finance",599498.0,2562.25,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Grasim Industries Ltd.","INE047A01021","Cement & Cement Products",86679.0,2465.58,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"SBI Life Insurance Company Ltd.","INE123W01016","Insurance",133924.0,2461.92,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"NTPC Green Energy Ltd.","INE0ONG01011","Power",2314950.0,2423.52,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"REC Ltd.","INE020B01018","Finance",546160.0,2197.75,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"GAIL (India) Ltd.","INE129A01019","Gas",1068048.0,2038.26,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Ultratech Cement Ltd.","INE481G01011","Cement & Cement Products",16566.0,2003.33,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Allied Blenders And Distillers Ltd.","INE552Z01027","Beverages",448751.0,1933.89,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Maruti Suzuki India Ltd.","INE585B01010","Automobiles",13682.0,1696.57,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Alkem Laboratories Ltd.","INE540L01014","Pharmaceuticals & Biotechnology",33897.0,1674.17,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Hero MotoCorp Ltd.","INE158A01026","Automobiles",37810.0,1602.05,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Hindustan Aeronautics Ltd.","INE066F01020","Aerospace & Defense",32574.0,1586.29,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Tata Consumer Products Ltd.","INE192A01025","Agricultural Food & other Products",144022.0,1582.66,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Titan Company Ltd.","INE280A01028","Consumer Durables",41138.0,1518.07,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"NCC Ltd.","INE868B01028","Construction",652152.0,1502.95,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Shriram Finance Ltd.","INE721A01047","Finance",205107.0,1449.8,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Bharat Forge Ltd.","INE465A01025","Auto Components",103250.0,1350.61,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"VARUN BEVERAGES LIMITED","INE200M01039","Beverages",285675.0,1307.11,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Blue Star Ltd.","INE472A01039","Consumer Durables",74018.0,1210.64,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"VA Tech Wabag Ltd.","INE956G01038","Other Utilities",80005.0,1185.19,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Pidilite Industries Ltd.","INE318A01026","Chemicals & Petrochemicals",38025.0,1161.44,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Godawari Power And Ispat Ltd.","INE177H01039","Industrial Products",583435.0,1104.97,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Senco Gold Ltd.","INE602W01027","Consumer Durables",311026.0,1067.6,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"ABB India Ltd.","INE117A01022","Electrical Equipment",16505.0,1003.59,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Seamec Ltd.","INE497B01018","Transport Services",108646.0,935.55,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Texmaco Rail & Engineering Ltd.","INE621L01012","Industrial Manufacturing",529575.0,932.26,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Apollo Hospitals Enterprise Ltd.","INE437A01024","Healthcare Services",12673.0,917.78,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Teamlease Services Ltd.","INE985S01024","Commercial Services & Supplies",44530.0,904.49,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Trent Ltd.","INE849A01020","Retailing",13598.0,845.46,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"L&T Technology Services Ltd.","INE010V01017","IT - Services",16575.0,729.65,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"K.P.R. Mill Ltd.","INE930H01031","Textiles & Apparels",61974.0,707.12,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Britannia Industries Ltd.","INE216A01030","Food Products",12027.0,703.7,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Cummins India Ltd.","INE298A01020","Industrial Products",20175.0,685.83,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Vedant Fashions Ltd.","INE825V01034","Retailing",79855.0,647.82,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Mphasis Ltd.","INE356A01018","IT - Software",22076.0,628.15,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Hindalco Industries Ltd.","INE038A01020","Non - Ferrous Metals",87442.0,605.84,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Cholamandalam Investment & Fin Co Ltd.","INE121A01024","Finance",29067.0,473.21,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"The Indian Hotels Company Ltd.","INE053A01029","Leisure Services",61322.0,466.23,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Bharat Heavy Electricals Ltd.","INE257A01026","Electrical Equipment",150065.0,399.62,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"Siemens Ltd.","INE003A01024","Electrical Equipment",8284.0,269.35,106871,"LIC MF Large Cap Fund-Regular Plan-Growth"
"HDFC Bank Ltd.","INE040A01034","Banks",814691.0,16306.04,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"ICICI Bank Ltd.","INE090A01021","Banks",1082678.0,15653.36,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Shakti Pumps (India) Ltd.","INE908D01010","Industrial Products",1149080.0,10854.78,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Garware Hi-Tech Films Ltd.","INE291A01017","Industrial Products",193087.0,8105.02,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Kotak Mahindra Bank Ltd.","INE237A01028","Banks",355421.0,7689.53,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Tata Consultancy Services Ltd.","INE467B01029","IT - Software",205366.0,7109.77,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
