ISIN Code,Name of the instrument,"Rating / 
 Industry",Quantity,"Mkt Value
 Rs. in Lacs",% of Net Asset,Scheme code,Scheme Name
INE006I01046,Astral Ltd,Industrial Products,844706,12728.03,0.99%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE634S01028,Mankind Pharma Ltd,Pharmaceuticals & Biotechnology,545268,12649.13,0.99%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE010V01017,L&T Technology Services Ltd,It - Services,287202,12642.92,0.99%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE299U01018,Crompton Greaves Consumer Electricals Ltd,Consumer Durables,3518063,12494.4,0.97%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE040H01021,Suzlon Energy Ltd,Electrical Equipment,18400513,12460.83,0.97%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE288B01029,Deepak Nitrite Ltd,Chemicals & Petrochemicals,621906,12357.89,0.96%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE405E01023,UNO Minda Ltd,Auto Components,1114401,12306.33,0.96%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE872J01023,Devyani international limited,Leisure Services,7322305,12284.63,0.96%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE726G01019,ICICI Prudential Life Insurance Company Ltd,Insurance,1850422,12173.93,0.95%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE721A01047,Shriram Finance Ltd,Finance,1716703,12134.52,0.95%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE338I01027,Motilal Oswal Financial Services Ltd,Capital Markets,1340505,11663.06,0.91%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE343G01021,Bharti Hexacom Ltd,Telecom - Services,583736,11398.61,0.89%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE010B01027,Zydus Lifesciences Ltd,Pharmaceuticals & Biotechnology,1124810,11135.06,0.87%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE702C01027,APL Apollo Tubes Ltd,Industrial Products,631409,10980.83,0.86%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE603J01030,PI Industries Ltd,Fertilizers & Agrochemicals,255227,10476.3,0.82%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE513A01022,Schaeffler India Ltd,Auto Components,258555,10464.5,0.82%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE388Y01029,FSN E–Commerce Ventures Ltd(NYKAA),Retailing,4886424,10182.82,0.79%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE692A01016,Union Bank of India,Banks,6452384,9910.86,0.77%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE371P01015,Amber Enterprises India Ltd,Consumer Durables,143674,9726.01,0.76%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE935N01020,Dixon Technologies (India) Ltd,Consumer Durables,57621,8633.35,0.67%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE548C01032,Emami Ltd,Personal Products,1483348,8478.82,0.66%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE073K01018,Sona BLW Precision Forgings Ltd,Auto Components,1742160,8385.89,0.65%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE536A01023,Grindwell Norton Ltd,Industrial Products,469453,8117.78,0.63%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE246F01010,Gujarat State Petronet Ltd,Gas,2397401,7900.63,0.62%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE466L01038,360 ONE WAM Ltd (Prev IIFL Wealth Management Ltd),Capital Markets,607223,7253.28,0.57%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE849A01020,Trent Ltd,Retailing,95442,5934.11,0.46%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE007A01025,CRISIL Ltd,Finance,95024,5747.05,0.45%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE065X01017,Indegene Limited,Healthcare Services,960130,5517.39,0.43%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE640A01023,SKF India Ltd,Industrial Products,105923,5101.04,0.40%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE596I01012,Computer Age Management Services Ltd,Capital Markets,113312,4861.31,0.38%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE053A01029,The Indian Hotels Company Ltd,Leisure Services,604722,4597.7,0.36%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE257A01026,Bharat Heavy Electricals Ltd,Electrical Equipment,1690314,4501.31,0.35%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE0LXG01040,Ola Electric Mobility Ltd,Automobiles,10199797,4402.23,0.34%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE226A01021,Voltas Ltd,Consumer Durables,286210,3761.09,0.29%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE844O01030,Gujarat Gas Co Ltd,Gas,321233,1525.21,0.12%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE090A01021,ICICI Bank Ltd,Banks,2365000,34193.17,9.85%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE040A01034,HDFC Bank Ltd,Banks,1639044,32805.47,9.45%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE397D01024,Bharti Airtel Ltd,Telecom - Services,977000,19633.79,5.66%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE009A01021,Infosys Ltd,It - Software,1067000,17091.21,4.92%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE002A01018,Reliance Industries Ltd,Petroleum Products,1011076,15172.21,4.37%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE089A01031,Dr. Reddys Laboratories Ltd,Pharmaceuticals & Biotechnology,1019304,13080.73,3.77%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE238A01034,Axis Bank Ltd,Banks,976671,11712.24,3.37%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE029A01011,Bharat Petroleum Corporation Ltd,Petroleum Products,3353195,11130.93,3.21%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE044A01036,Sun Pharmaceutical Industries Ltd,Pharmaceuticals & Biotechnology,662000,11093.13,3.20%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE765G01017,ICICI Lombard General Insurance Company Ltd,Insurance,543333,11085.08,3.19%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE237A01028,Kotak Mahindra Bank Ltd,Banks,496353,10738.6,3.09%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE062A01020,State Bank of India,Banks,1307239,10723.94,3.09%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE018A01030,Larsen & Toubro Ltd,Construction,277730,10192.14,2.94%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE669C01036,Tech Mahindra Ltd,It - Software,596688,10066.13,2.90%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE192R01011,Avenue Supermarts Ltd,Retailing,198923,8697.51,2.51%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE646L01027,Interglobe Aviation Ltd,Transport Services,145000,8665.93,2.50%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE101A01026,Mahindra & Mahindra Ltd,Automobiles,271223,8633.57,2.49%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE494B01023,TVS Motor Company Ltd,Automobiles,278803,8135.47,2.34%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE481G01011,Ultratech Cement Ltd,Cement & Cement Products,62000,7497.66,2.16%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE123W01016,SBI Life Insurance Company Ltd,Insurance,373225,6861,1.98%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE603J01030,PI Industries Ltd,Fertilizers & Agrochemicals,166773,6845.53,1.97%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE733E01010,NTPC LTD,Power,1967000,6587.48,1.90%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE274J01014,Oil India Ltd,Oil,1428942,6205.18,1.79%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE00LO01017,Craftsman Automation Ltd,Auto Components,109075,6076.02,1.75%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE917I01010,Bajaj Auto Ltd,Automobiles,70454,5901.23,1.70%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE200M01039,Varun Beverages Ltd,Beverages,1187500,5433.41,1.57%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE860A01027,HCL Technologies Ltd,It - Software,285965,4943.19,1.42%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE797F01020,Jubilant Foodworks Ltd,Leisure Services,586911,4118.94,1.19%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE192A01025,TATA Consumer Products Ltd,Agricultural Food & Other Products,319989,3516.36,1.01%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE663F01032,Info Edge (India) Ltd,Retailing,235000,3497.51,1.01%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE854D01024,United Spirits Ltd,Beverages,237000,3384.6,0.98%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE878B01027,KEI Industries Ltd,Industrial Products,85031,3224.89,0.93%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
INE217B01036,Kajaria Ceramics Ltd,Consumer Durables,281548,3043.53,0.88%,148504,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth
